,ï»¿Review_title,Body,new_reviews
32,One of the best among the best colleges.,"College Infrastructure
Well the infrastructure majorly depends on what branch are you from. For example, the mechanical branch uses a pretty old building but cse,ece,eee,ice uses new infrastructure. You can enjoy the campus to the fullest but there are certain areas where boys and girls are not allowed respectively. The campus is around 800 acres most of which is unused but the climate of trichy is very humid so sometimes it's hotter than one could expect. The library is huge with almost everything you need.
Academics
Like any other college here too there is vagueness in the teaching quality. But it's pretty obvious that one might find mathematics more interesting than environmental science right? Some professors are really good while others are not so good. But once you enter in 2ndsemester here you hardly depend on any professors. And that's a very good thing but you will realise it only when you experience it. The curriculum is not so updated yet but as of now HOD's are trying their best to bring in new cu
Placements
I can not emphasize on this more ""placements depends on the quality of students and the work placement committee of your college puts in"". And place-com of nit-trichy is in top-10 in india which includes even the IIMs. Coming to average packages, cse is the Highest with around 20+lpa and overall it's around 7-8lpa. And percentage of students placed too again depends majorly on students themselves because there are around 200 companies visiting the campus every year.
Value-for-money
The fees depends upon your category. Like for sc st the tuition fee is totally free. You can check anything related to this on the official website anytime or even on websites like careers360. Coming to the worth of money, the mess food generally is unlimited and it's better than one would expect. I know that's hard to believe but if you choose the right mess you'll get almost home cooked food. The hostels are very clean so is the campus (unless it rains and nothing is in our hand ;p ).
Campus Life
Again this majorly depends on whether you are a boy or a girl. Because for girls there's a daily curfew of 9pm on weekdays and 9:30pm on weekends while for boys in the first year there's curfew of 9pm daily but rest of the years there's no curfew. You'll meet the best people ever if you make the right choices and choose the right group you hangout with. The location of college is the one among the very few setbacks it has because first of all it's in Tiruchirapalli and then it's away from city.
Anything Else
The best feature about tier-1 colleges like top-5 iits,bitsnit Trichy is the Pier group one gets. And here in Nit Trichy there's a wonderful culture of clubs (technical, research, dance, music, astronomy, business you name it) and fests(where everything is planned and organised by the students which develops very important skills one needs for leadership roles in future). Hostel life is Just the best among everything. There's a computer lab too which is accessible 24/7 and has great internet.

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure well infrastructure majorly depend branch for example mechanical branch use pretty old building cseeceeeeice use new infrastructure you enjoy campus full certain area boy girl allow respectively the campus around 800 acre unused climate trichy humid sometimes hot one could expect the library huge almost everything need Academics like college vagueness teach quality but pretty obvious one might find mathematic interesting environmental science right some professor really good other good but enter 2ndsemester hardly depend professor and that s good thing realise experience the curriculum update yet hod try well bring new cu Placements I emphasize placement depend quality student work placement committee college put and placecom nittrichy top10 india include even iim come average package cse highest around 20lpa overall around 78lpa and percentage student place depend majorly student around 200 company visit campus every year Valueformoney the fee depend upon category like sc st tuition fee totally free you check anything relate official website anytime even website like careers360 come worth money mess food generally unlimited well one would expect I know that s hard believe choose right mess you ll get almost home cook food the hostel clean campus unless rain nothing hand p Campus Life again majorly depend whether boy girl because girl there s daily curfew 9 pm weekday 930pm weekend boy first year there s curfew 9 pm daily rest year there s curfew you ll meet good people ever make right choice choose right group hangout the location college one among setback first Tiruchirapalli away city anything else the good feature tier1 college like top5 iitsbitsnit Trichy Pier group one get and Nit Trichy there s wonderful culture club technical research dance music astronomy business name festswhere everything plan organised student develop important skill one need leadership role future Hostel life just well among everything there s computer lab accessible 247 great internet Infrastructure Placements Academics Value Money Campus Life
33,Life at NIT,"College Infrastructure
NIT gets the points for having technical infrastructure ( labs and equipmentâs ) and a clean campus. Food is like any other college. Hostels ( agate being the worst ) are bad compared to other colleges. Classrooms donât have enough ventilation for all students ( especially after the increase in seats )
Academics
Quality of teaching is subjective...depends on the teacher. But generally, itâs extremely boring compared to my teachers from FIITJEE. Professors, nevertheless, are highly qualified. Curriculum should be the best.
Placements
Everybody gets placed. If theyâre not, theyâre taking up masters or an MBA, sometimes entrepreneurship as well. Salary depends on students. Getting north of 12lpa would be good and a fair share of students get it.
Value-for-money
Ofc. Extremely subsidised ( even expenses in college from canteens ) . Private college students pay atleast twice as much and get way lesser value after graduating. The saved money was used for an Internship in EGYPT for a month. Private : fees NIT : fees + 3 international trips
Campus Life
NIT provides opportunities that make LIFE better. Personally, I hate the campus environment...Iâm more productive by myself at home. Also, thereâs hardly any activity you can do from this city.
Anything Else
Went on a trip/intern to Egypt for a month. More achievements and trips to come.

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure NIT get point technical infrastructure lab equipmentâs clean campus Food like college Hostels agate worst bad compare college classroom donât enough ventilation student especially increase seat Academics Quality teaching subjectivedepend teacher but generally itâs extremely boring compare teacher FIITJEE professor nevertheless highly qualified Curriculum good placement everybody gets place if theyâre theyâre take master MBA sometimes entrepreneurship well Salary depend student get north 12lpa would good fair share student get Valueformoney Ofc extremely subsidise even expense college canteen private college student pay atleast twice much get way less value graduate the save money use internship EGYPT month private fee NIT fee 3 international trip Campus Life NIT provide opportunity make life well personally I hate campus environmentIâm productive home also thereâs hardly activity city Anything Else go tripintern Egypt month More achievement trip come Infrastructure Placements Academics Value Money Campus Life
34,Amazing,"College Infrastructure
Various facilities are provided in our college such as good infrastructure , wifi , smart boards, well equipped sports centre and a smart library with thousands of books. All places are good and hygenic.
Academics
I am studying chemical engineering in national institute of technology tiruchirappali in first year. Quality of teaching is quite good. Curriculum is updated and updated with demands of market amd technology.
Placements
Placement are excellent in national institute of technology tiruchirappali. The highest packages are offered in computer science engineering in btech. Even in chemical engineering there is 100 percent placement.
Value-for-money
The money given there is worth since there are lot of opportunities provided in this 800 acre campus. Fees is around 92000 for academics but there are many well equipped labs there having good infrastructure hence the money is worth
Campus Life
Campus Life in national institute of technology tiruchirappali is amazing because of its 800 acre campus. However it is very hot there but enjoying too. There are lots of places inside college to hang out. It is safe and can handle emergencies
Anything Else
I am pursuing btech in chemical engineering in national institute of technology tiruchirappali. I have an amazing experience there. It is an excellent institute with well equipped labs and infrastructure.

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure Various facility provide college good infrastructure wifi smart board well equip sport centre smart library thousand book all place good hygenic Academics I study chemical engineering national institute technology tiruchirappali first year Quality teach quite good Curriculum update update demand market amd technology Placements Placement excellent national institute technology tiruchirappali the high package offer computer science engineering btech even chemical engineering 100 percent placement Valueformoney the money give worth since lot opportunity provide 800 acre campus fee around 92000 academic many well equip lab good infrastructure hence money worth Campus Life Campus Life national institute technology tiruchirappali amazing 800 acre campus however hot enjoy there lot place inside college hang it safe handle emergency anything else I pursue btech chemical engineering national institute technology tiruchirappali I amazing experience it excellent institute well equip lab infrastructure infrastructure Placements Academics Value Money Campus Life
35,Excellent Campus Life with great Academics,"College Infrastructure
The college invests hugely on infrastructure development, and all the labs are adequately updated. Physics and Chemistry labs are assigned explicitly for B.Tech, M.Tech and PhD which are further classified as Nanomaterials Lab, Crystal Structures Lab etc. Apart from these, there are department-specific labs in the various departmental building as well. In the Department of Chemical Engineering, there are Fluid Mechanics Lab, Mass Transfer Lab etc.
Academics
Most of the professors are PhD qualified, and the level of teaching is satisfactory. Apart from the teachers, the resources available are also excellent. We have three computer labs building which is open to students 24x7, a Central Library with over 1Lakh. Support- material, and Department Libraries which house department-specific research papers published, international journals etc.
Placements
As of what I have heard from my seniors, the placements of the Chemical Engineering Department were excellent this year. All those who didn't plan to go for higher studies are placed with a reasonably good package. On an average, nearly all the departments have 100% placement. The B.Tech placements at NIT Trichy have been consistent over the years and major recruiters at our college are HCL, Sony, Wipro, Yahoo, HP, Godrej, McAfee, Facebook, Microsoft, ESSAR, Texas Instruments, ITC Limited etc.

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure the college invest hugely infrastructure development lab adequately update Physics Chemistry lab assign explicitly BTech MTech phd classify Nanomaterials Lab Crystal Structures Lab etc apart departmentspecific lab various departmental building well in Department Chemical Engineering Fluid Mechanics Lab Mass transfer Lab etc Academics Most professor phd qualified level teaching satisfactory Apart teacher resource available also excellent we three computer lab build open student 24x7 Central library 1lakh support material Department Libraries house departmentspecific research paper publish international journal etc placement as I hear senior placement Chemical Engineering Department excellent you all do nt plan go high study place reasonably good package on average nearly department 100 placement the BTech placement NIT Trichy consistent year major recruiter college HCL Sony Wipro Yahoo HP Godrej McAfee Facebook Microsoft essar Texas Instruments ITC limit etc Infrastructure Placements Academics Value Money Campus Life
36,You can go for this college without any second thought.,"College Infrastructure
The hostel is spacious. There's no provision for air conditioner, but you can have air coolers of your own. The classrooms are equipped with projectors. Laboratories have all the required infrastructure. The campus is cleaned regularly.
Academics
In first year, one won't have any exposure to their branch course , since all the branches will be having same courses only. The teaching is nice and the profs are knowledgeable. The curriculum was updated recently inorder to keep up with the changing environment.
Placements
In chemical engineering, the placement stats are usually above 90% and it has been 100% in the recent past. The highest paying job is around 29 lpa. The average being around 10-12 lpa . The highest is for non-core sector.
Value-for-money
It's absolutely value for money as compared to the same degree which you'll be earning from BITS Pilani. It'd cost around 1.75 lpa .
Campus Life
Best feature: Highly qualified alumni , who have achieved great heights in various fields. You've ample of options to join any club, of your choice ranging from tech to commercial field. The college is situated 15 kms from the Junction ,but it's spread over a vast area of 800 acres.

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure the hostel spacious there s provision air conditioner air cooler the classroom equip projector Laboratories require infrastructure the campus clean regularly Academics in first year one will not exposure branch course since branch course the teaching nice profs knowledgeable the curriculum update recently inorder keep change environment Placements in chemical engineering placement stat usually 90 100 recent past the high pay job around 29 lpa the average around 1012 lpa the high noncore sector Valueformoney its absolutely value money compare degree you ll earn BITS Pilani It d cost around 175 lpa Campus Life Best feature highly qualified alumnus achieve great height various field you ve ample option join club choice range tech commercial field the college situate 15 kms Junction spread vast area 800 acre Infrastructure Placements Academics Value Money Campus Life
37,NIT  Trichy is best Engineering college and placement are go,"College Infrastructure
Hostel rooms are very good and enough space are available there . Washroom cleaning is regularly happen . Wi-Fi is also available and wi-fi speed is good . An institute guest house is there inside college premises . The food quality is good .
Academics
The course curriculum was good and had focus on research too . And it change time to time . There is flexible ccurriculum for us . Our college is autonomous so teacher decision is final decision . Quality of teaching is good .
Placements
Placement are very good and well-planned to see that all student are placed . Both private and government companies used to come to NIT-T for placement and to name few companies , jasmin, BEL , Halosoft etc .
Value-for-money
It is very feasible if you submit your father income certificate you will be getting subsidised
Campus Life
Here a lot of extracurricular activities take place . There are scientific societies , sports , literary clubs , etc . I am so excited to say , NIT Trichy is best institute which keeps balance in my academic and non-academic life .
Anything Else
NIT Trichy is the best platform to maintain a balance between students day to day activities .

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure Hostel room good enough space available Washroom cleaning regularly happen WiFi also available wifi speed good an institute guest house inside college premise the food quality good Academics the course curriculum good focus research and change time time there flexible ccurriculum we our college autonomous teacher decision final decision quality teach good Placements Placement good wellplanned see student place both private government company use come NITT placement name company jasmin BEL Halosoft etc Valueformoney it feasible submit father income certificate getting subsidise Campus Life here lot extracurricular activity take place there scientific society sport literary club etc I excited say NIT Trichy good institute keep balance academic nonacademic life anything else NIT Trichy good platform maintain balance student day day activity infrastructure Placements Academics Value Money Campus Life
38,The overall experience as a student in NITT is good.,"College Infrastructure
Infrastructure is okay. Necessary equipment aretherebuttime to time it needs repair causing it to be a nuisance for the faculty and students. Maintenance of laboratory items are not good at all. Living spaces are clean. Food hygiene is fine.
Academics
I took Production as my major. Quality of teaching depends upon who takes the class. The senior professors are good but not so with the temporary faculty. My curriculum is flexible. Updates every year.
Placements
Students are placed 100% every year without fail. The college do take this quite seriously and prepare the students for interviews before the actual placements. Highest salary offered was above 15 lakhs.
Value-for-money
It's too much for an NRI student. Not much value is added to the facilities even though they extort alot of money.
Campus Life
Campus is run by students. There are alot of events conducted throughout the year that makes us to showcase our competitiveness via sports, technology, dance, singing etc. The campus is 45 mins away from the city. In terms of medical emergencies, we have a hospital in our campus for first degree injuries and other general checkup. If it's serious, we have a hospital that is 15 mins away. The campus is safe as long as you don't wander in the dark areas especially for girls.

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure Infrastructure okay necessary equipment aretherebuttime time need repair cause nuisance faculty student maintenance laboratory item good living space clean food hygiene fine Academics I take Production major Quality teaching depend upon take class the senior professor good temporary faculty my curriculum flexible Updates every year Placements Students place 100 every year without fail the college take quite seriously prepare student interview actual placement high salary offer 15 lakh Valueformoney its much NRI student not much value add facility even though extort alot money Campus Life Campus run student there alot event conduct throughout year make we showcase competitiveness via sport technology dance singing etc the campus 45 min away city in term medical emergency hospital campus first degree injury general checkup if serious hospital 15 min away the campus safe long do not wander dark area especially girl Infrastructure Placements Academics Value Money Campus Life
39,Everyone here is very helpful in everything.,"College Infrastructure
Our college has all the required infrastructure. Library, classes ground everything is well structured and easy to reach. Wifi is good availabke at many places. Living spaces are clean. They clean it almost everyday. And food is hygiene.
Academics
Quality of teaching is very good. Professors help us with everything. I am studying btech in production engineering which is good field. Professors help us with projects. They clear whatever doubts we have. All the projects are helpful. Curriculum is follolowed properly and is updated upto date. It is a flexible curriculum.
Placements
Here placements are good. More than half gets placed from every department. From my department also more than half gets placed. The average salary offered in this department is 70k per annum. There is CPC process which is taken care by seniors and is helpful for us during placements.
Value-for-money
Fee here is less and worth. We spend money for good.
Campus Life
Its good. Everyone here supports with my life.

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure our college require infrastructure Library class ground everything well structured easy reach Wifi good availabke many place living space clean they clean almost everyday and food hygiene Academics Quality teach good Professors help we everything I study btech production engineering good field professor help we project they clear whatever doubt all project helpful Curriculum follolowe properly update upto date it flexible curriculum placement here placement good More half gets place every department from department also half gets place the average salary offer department 70k per annum There CPC process take care senior helpful us placement Valueformoney Fee less worth we spend money good Campus Life its good everyone support life Infrastructure Placements Academics Value Money Campus Life
40,Amazing college life,"College Infrastructure
College have all the necessary infrastructure, facilities and all. In classrooms projectors are used and smart classrooms teaching is done. Has a big library, sports, gym etc with well maintenance. Living space is neat and food will be hot and hygienic
Academics
Studying currently btech ECE. Quality of teaching is really good but we are expected to study on our own mostly. Teaching hours will be very flexible. So do lab hours. Tight schedule and spoon feeding shouldn't be expected. As far as the curriculum is concerned, it is updated and includes all the recent developments.
Placements
Placements have been really good with high packages. Google visited with the package of 26 lakhs to offer internships. As far as the companies are concerned, many companies of good quality visit for placements. Almost 70 percent of students are placed. Highest salary package offer went to branches like cse, ece, IT. Average salary offered went till 40k. Placement process is not easy at all, but due to the reputed college, many companies come, we need not worry.
Value-for-money
With the cost of hostel, it costs almost 1,70,000 per year. Pretty much reasonable since hostel, food and studies are really good. Money's worth.. definitely yes. It provides all the facilities and all the sources. At the end of the day, it depends on us that how well we will be utilising them. Supportive lecturers, library, courses etc.
Campus Life
Campus is really big and is expanding too. Access to all the requirements for students. There are many other extra curricular activities like clubs, clusters etc. One of the biggest fest is festember. Inter college cultural fest. Location is in tiruchirapalli and is absolutely safe. Any emergencies are handled in really safe way.
Anything Else
Knowledge with self carrer building would goes best in this college

Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life",College Infrastructure College necessary infrastructure facility in classroom projector use smart classroom teach do have big library sport gym etc well maintenance living space neat food hot hygienic Academics Studying currently btech ECE Quality teach really good expect study mostly teach hour flexible so lab hour tight schedule spoon feed should not expect as far curriculum concern update include recent development Placements Placements really good high package Google visit package 26 lakh offer internship as far company concern many company good quality visit placement almost 70 percent student place high salary package offer go branch like cse ece IT average salary offer go till 40k placement process easy due reputed college many company come need worry Valueformoney with cost hostel cost almost 170000 per year pretty much reasonable since hostel food study really good money worth definitely yes it provide facility source at end day depend we well utilise supportive lecturer library course etc Campus Life Campus really big expand Access requirement student there many extra curricular activity like club cluster etc one big f festember Inter college cultural f Location tiruchirapalli absolutely safe any emergency handle really safe way anything Else Knowledge self carr building would go good college Infrastructure Placements Academics Value Money Campus Life
41,Campus Life is Interesting,"NIT Trichy is a very interesting college with lots of opportunities. The campus is very big and equipped. Teaching is average and there are a lot of extra activities in which students are involved. The hostel mess serves food which can be consumed by humans.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",NIT Trichy interesting college lot opportunitie the campus big equipped teaching average lot extra activity student involve the hostel mess serve food consume human Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
42,Nice college life and good learning experience,"The experience here for me was very positive and enjoyable. Everyone is friendly from the shopkeepers to the faculty. The infrastructure although old is maintained regularly to ensure they are durable. There are newer building coming up constantly and efficiently. All the students are encouraged to participate in Co curricular activities. I was a part of a couple of technical clubs and teams and they are all very encouraging and motivational.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",the experience positive enjoyable everyone friendly shopkeeper faculty the infrastructure although old maintain regularly ensure durable there new building come constantly you all student encourage participate Co curricular activity I part couple technical club team encourage motivational Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
43,Good university and among the best in the world,"My experience here has been fun and games so far. There are so many new opportunities for one to explore. For those who are more serious the education system here is great and the placements are a testimony to that. You can also be a part of several clubs and teams for the various fests that happen all year round. The college helps us to build an overall profile to succeed when we leave this place that has given me so many memories.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",my experience fun game far there many new opportunity one explore for serious education system great placement testimony you also part several club team various fest happen year round the college help we build overall profile succeed leave place give many memory Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
44,A nice college,"My experience here has been nothing short of a wonderful experience away from home. There are plenty of opportunities to meet new people and this is truly a home away from a home. The accommodation is satisfactory and better than most other colleges. Faculty are kind and helpful at all times.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",my experience nothing short wonderful experience away home there plenty opportunity meet new people truly home away home the accommodation satisfactory well college Faculty kind helpful time Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
45,Nice college with plenty of oppurtunities to excel,"My experience here is fantastic so far. All faculty are helpful the hostels are comfortable and most importantly I can participate in so many new club activities and events that I have never been a part of. The sports teams are welcoming to new players and help improve players. The other students are very friendly mostly.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",my experience fantastic far all faculty helpful hostel comfortable importantly I participate many new club activity event I never part the sport team welcome new player help improve player the student friendly mostly Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
46,One of the havens of technology,"I've been studying here for the past 3 years. Electrical and electronics engineering is a very demanding course, and sometimes the faculties do not do justice. However they are fairly knowledgeable and approachable. We do a lot of self study here, and we also learn from one another. My friends have been the greatest pillar of support in college-they are there For us in sickness and I'm health. Also, all of us here are involved in one activity or the other, related to coding, robotics, racing, dance, music, organizing fests etc. This helps us get more exposure to the outside world.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",I ve study past 3 year electrical electronic engineering demand course sometimes facultie justice however fairly knowledgeable approachable we lot self study also learn one another my friend great pillar support collegethey for we sickness I m health also we involve one activity relate code robotic race dance music organize fest etc this help we get exposure outside world Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
47,Overall good experience,"The college has a fedw negatives namely the faculty and the hostel infrastructure. This is more than compensated for however by providing students with appropriate resources to self study and encouraging and helpful seniors. This in turn leads to more focus on club activities leading to a wholesome growth.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",the college fedw negative namely faculty hostel infrastructure this compensate however provide student appropriate resource self study encourage helpful senior this turn lead focus club activity lead wholesome growth infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
48,Life skills are learnt here!,"In my four years of college, I have learnt a lot more than just motors and machines. I have also learnt the all too important soft skills. I entered the college naive and now, after four years, I am leaving college as a confident, extroverted citizen with knowledge about mechanical engineering also. The faculty have guided me in every step of my academic life, they have been supportive and helped me publish two papers in this college. My fellow students are some of the best people all over the world. They taught me the skills required to face this world. In all, this college has helped me in realizing my true potential, both academically and as a person.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",in four year college I learn lot motor machine I also learn important soft skill I enter college naive four year I leave college confident extroverted citizen knowledge mechanical engineering also the faculty guide every step academic life supportive help publish two paper college my fellow student good people world they teach skill require face world in college help realize true potential academically person Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
49,Fun to learn,"This college has given me some of my best memories in just 2 years. There are various activities happening in NIT Trichy apart from just academics. There are various clubs here that help us improve our skills in a particular field. I have always been interested in robotics, and in my first year itself, got the experience of building a bot. It was the first step in pursuing my interests. Also, the various college fests of NIT Trichy help us learn team building and organization. In all, the best reasons to study in NIT is because of all the opportunities available in the campus.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",this college give good memory 2 year there various activity happen NIT Trichy apart academic there various club help we improve skill particular field I always interested robotic first year get experience building bot it first step pursue interest also various college fest NIT Trichy help we learn team building organization in good reason study NIT opportunity available campus Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
50,Simple and nice place to learn,"Its a nice place to learn and enjoy our college life. College is easily affordable. One disadvantage is that the college is out of the city. It takes around 45 - 60min to come to college from railway station . There are many restaurants around the campus.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",its nice place learn enjoy college life College easily affordable one disadvantage college city it take around 45 60min come college railway station there many restaurant around campus Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
51,An overall enriching experience,"The college has a few negatives the faculty and the hostel infrastructure.this is however compensated by helpful co students who help willingly. This leads to an emphasis on extracurriculars and leads to an overall profile which helps make use of the excellent placement opportunities offered.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",the college negative faculty hostel infrastructurethis however compensate helpful co student help willingly this lead emphasis extracurricular lead overall profile help make use excellent placement opportunity offer Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
52,Lovely Campus,"Well, NIT Trichy is on the whole awesome !
I've studied only a year out here and I'm already filled with amazing , fun filled memories ! :')

well, to start with , this is a place where intellectual students join,a whole bunch of them being IIT aspirants ! 
So you will face a lot of competition ! To score , yes u need to study hard .
otherwise the campus is paradise ! A lot of places to visit .One con is that it's hotter than you can imagine in summer :P Otherwise climate is moderate!
Well , the campus is very huge , can be considered as a mini city :')
Other facilities are all really good too !
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",well NIT Trichy whole awesome I ve study year I m already fill amazing fun fill memory well start place intellectual student joina whole bunch IIT aspirant so face lot competition to score yes u need study hard otherwise campus paradise a lot place visit one con hotter imagine summer p otherwise climate moderate well campus huge consider mini city other facility really good Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
53,Love the Infrastructure:,"NIT Trichy boasts of a vast campus with ever-improving infrastructure (new lecture halls, bigger auditoriums, refurbished library, new hostels) to accommodate the increasing number of students. Hostels are just about okay, but fortunately there arenât any problems with water supply at least. First years share their rooms with three other students, second and third year students with one more, while final year students normally have a room to themselves, although that may change a bit due to the increased intake of NIT Trichy. The entire campus will soon be WiFi enabled, but as of now they have huge computer rooms in each hostel which are open 24 hours a day. Specialised internet labs are also available. Students sometimes complain about the ânot so greatâ library, but that promises to improve too very soon.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",NIT Trichy boast vast campus everimprove infrastructure new lecture hall big auditorium refurbish library new hostel accommodate increase number student Hostels okay fortunately arenât problem water supply least first year share room three student second third year student one final year student normally room although may change bit due increase intake NIT Trichy the entire campus soon WiFi enable huge computer room hostel open 24 hour day specialised internet lab also available student sometimes complain ânot greatâ library promise improve soon Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
54,Best College Life,"Just two years into the college , it feels that I have made many memories already here. Be it the tech fest or the cultural fest or even the inter departmental fests. This college teaches more than engineering as it gives students to try out their area of interest be it technical and cultural clubs . Thanks to the adequate funding that these clubs receive. Also the hostels and messes are clean and very well maintained and any complaints regarding the same are solved at the earliest. Placements is one of the main highlights of this college as it boasts placements on par with many top colleges in the country like IITs. This college has given me lots of memories and would definitely ask students to aim for this college.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd",just two year college feel I make many memory already be tech f cultural f even inter departmental fest this college teach engineering give student try area interest technical cultural club thank adequate funding club receive also hostel mess clean well maintain complaint regard solved early Placements one main highlight college boast placement par many top college country like IITs this college give lot memory would definitely ask student aim college Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd
55,Honest Review,"Pros
it's a Hub of education.Wonderful to be apart of such agreat institution.in terms of education facilities it is one of the best college. Several times ranked higher than IITs.
Cons
mess food- not as per standards. Horrible power cuts. With new director coming hope for the betterment.
Advice to Management
they should tell students about Placement status in their college... as most of the ppl of college itself doesn';t knw about their college highest n avg packages
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",Pros Hub educationwonderful apart agreat institutionin term education facility one good college several time rank higher IITs Cons mess food per standard horrible power cut with new director come hope betterment Advice Management tell student placement status college ppl college do not knw college high n avg package Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
56,Nit Trichy is the best,"The national institute of technology, tiruchirapalli is the best college in terms of infrastructure, hostel, college life, subjects, faculty, extra curriculars, knowledge, skills, etc. It has made a very meaningful difference in my life and has helped me grow as a person. It has been the best thing that could happen to me and I consider myself lucky to be part of this instution.
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",the national institute technology tiruchirapalli good college term infrastructure hostel college life subject faculty extra curricular knowledge skill etc it make meaningful difference life help grow person it good thing could happen I consider lucky part instution Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
57,All round development in NITT,"It is one of the primary institutes in india not only in acads but also in terms of exposure in skills like team management, public speaking skills through fests like Pragyan and Festember . Students are also allowed to develop their interests in various fields such as robotics , entrepreneurship , aero modelling through various students run clubs that are supported by the college . Sports is also given utmost priority through various events and competitions namely sports fete inter-nit . NITT also has one of the best lab facilities that help students learn concepts practically deepen their knowledge in their field of interest . Thus this institute is one of the best universities to study in India
							   

											
Infrastructure
													



Placements
													



Academics
													



Value for Money
													



Campus Life
													



Industry Exposure
													



Student Crowd
													



Hostel",it one primary institute india acad also term exposure skill like team management public speaking skill fest like Pragyan Festember Students also allow develop interest various field robotic entrepreneurship aero model various student run club support college sport also give utmost priority various event competition namely sport fete internit NITT also one good lab facility help student learn concept practically deepen knowledge field interest thus institute one good university study India Infrastructure Placements Academics Value Money Campus Life Industry Exposure Student crowd Hostel
